Code,Entity,Region
GNB,Guinea-Bissau,Sub-Saharan Africa
GUY,Guyana,Latin America & Caribbean
HTI,Haiti,Latin America & Caribbean
HND,Honduras,Latin America & Caribbean
HKG,Hong Kong,East Asia & Pacific
HUN,Hungary,Europe & Central Asia
ISL,Iceland,Europe & Central Asia
IND,India,South Asia
IDN,Indonesia,East Asia & Pacific
IRN,Iran,Middle East & North Africa
IRQ,Iraq,Middle East & North Africa
IRL,Ireland,Europe & Central Asia
IMN,Isle of Man,Europe & Central Asia
ISR,Israel,Middle East & North Africa
ITA,Italy,Europe & Central Asia
JAM,Jamaica,Latin America & Caribbean
JPN,Japan,East Asia & Pacific
JOR,Jordan,Middle East & North Africa
KAZ,Kazakhstan,Europe & Central Asia
KEN,Kenya,Sub-Saharan Africa
KIR,Kiribati,East Asia & Pacific
KWT,Kuwait,Middle East & North Africa
KGZ,Kyrgyzstan,Europe & Central Asia
LAO,Laos,East Asia & Pacific
LVA,Latvia,Europe & Central Asia
LBN,Lebanon,Middle East & North Africa
LSO,Lesotho,Sub-Saharan Africa
LBR,Liberia,Sub-Saharan Africa
LBY,Libya,Middle East & North Africa
LIE,Liechtenstein,Europe & Central Asia
LTU,Lithuania,Europe & Central Asia
LUX,Luxembourg,Europe & Central Asia
MAC,Macao,East Asia & Pacific
MDG,Madagascar,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa
MYS,Malaysia,East Asia & Pacific
MDV,Maldives,South Asia
MLI,Mali,Sub-Saharan Africa
MLT,Malta,Europe & Central Asia
MHL,Marshall Islands,East Asia & Pacific
MRT,Mauritania,Sub-Saharan Africa
MUS,Mauritius,Sub-Saharan Africa
OWID_MNS,Melanesia,East Asia & Pacific
MEX,Mexico,Latin America & Caribbean
FSM,Micronesia (country),East Asia & Pacific
MDA,Moldova,Europe & Central Asia
MCO,Monaco,Europe & Central Asia
MNG,Mongolia,East Asia & Pacific
MNE,Montenegro,Europe & Central Asia
MAR,Morocco,Middle East & North Africa
MOZ,Mozambique,Sub-Saharan Africa
MMR,Myanmar,East Asia & Pacific
NAM,Namibia,Sub-Saharan Africa
NRU,Nauru,East Asia & Pacific
NPL,Nepal,South Asia
NLD,Netherlands,Europe & Central Asia
ANT,Netherlands Antilles,Latin America & Caribbean
NCL,New Caledonia,East Asia & Pacific
NZL,New Zealand,East Asia & Pacific
NIC,Nicaragua,Latin America & Caribbean
NER,Niger,Sub-Saharan Africa
NGA,Nigeria,Sub-Saharan Africa
PRK,North Korea,East Asia & Pacific
MKD,North Macedonia,Europe & Central Asia
MNP,Northern Mariana Islands,East Asia & Pacific
NOR,Norway,Europe & Central Asia
OMN,Oman,Middle East & North Africa
PAK,Pakistan,Middle East & North Africa
PLW,Palau,East Asia & Pacific
PSE,Palestine,Middle East & North Africa
PAN,Panama,Latin America & Caribbean
PNG,Papua New Guinea,East Asia & Pacific
PRY,Paraguay,Latin America & Caribbean
PER,Peru,Latin America & Caribbean
PHL,Philippines,East Asia & Pacific
POL,Poland,Europe & Central Asia
OWID_PYA,Polynesia,East Asia & Pacific
PRT,Portugal,Europe & Central Asia
PRI,Puerto Rico,Latin America & Caribbean
QAT,Qatar,Middle East & North Africa
ROU,Romania,Europe & Central Asia
RUS,Russia,Europe & Central Asia
RWA,Rwanda,Sub-Saharan Africa
KNA,Saint Kitts and Nevis,Latin America & Caribbean
LCA,Saint Lucia,Latin America & Caribbean
MAF,Saint Martin (French part),Latin America & Caribbean
VCT,Saint Vincent and the Grenadines,Latin America & Caribbean
WSM,Samoa,East Asia & Pacific
SMR,San Marino,Europe & Central Asia
STP,Sao Tome and Principe,Sub-Saharan Africa
SAU,Saudi Arabia,Middle East & North Africa
SEN,Senegal,Sub-Saharan Africa
SRB,Serbia,Europe & Central Asia
OWID_SRM,Serbia and Montenegro,Europe & Central Asia
SYC,Seychelles,Sub-Saharan Africa
SLE,Sierra Leone,Sub-Saharan Africa
SGP,Singapore,East Asia & Pacific
SXM,Sint Maarten (Dutch part),Latin America & Caribbean
SVK,Slovakia,Europe & Central Asia
SVN,Slovenia,Europe & Central Asia
SLB,Solomon Islands,East Asia & Pacific
SOM,Somalia,Sub-Saharan Africa
ZAF,South Africa,Sub-Saharan Africa
KOR,South Korea,East Asia & Pacific
SSD,South Sudan,Sub-Saharan Africa
ESP,Spain,Europe & Central Asia
LKA,Sri Lanka,South Asia
SDN,Sudan,Sub-Saharan Africa
SUR,Suriname,Latin America & Caribbean
SWE,Sweden,Europe & Central Asia
CHE,Switzerland,Europe & Central Asia
SYR,Syria,Middle East & North Africa
TWN,Taiwan,East Asia & Pacific
TJK,Tajikistan,Europe & Central Asia
TZA,Tanzania,Sub-Saharan Africa
THA,Thailand,East Asia & Pacific
TLS,Timor,East Asia & Pacific
TGO,Togo,Sub-Saharan Africa
TON,Tonga,East Asia & Pacific
TTO,Trinidad and Tobago,Latin America & Caribbean
TUN,Tunisia,Middle East & North Africa
TUR,Turkey,Europe & Central Asia
TKM,Turkmenistan,Europe & Central Asia
TCA,Turks and Caicos Islands,Latin America & Caribbean
TUV,Tuvalu,East Asia & Pacific
UGA,Uganda,Sub-Saharan Africa
UKR,Ukraine,Europe & Central Asia
ARE,United Arab Emirates,Middle East & North Africa
GBR,United Kingdom,Europe & Central Asia
USA,United States,North America
VIR,United States Virgin Islands,Latin America & Caribbean
URY,Uruguay,Latin America & Caribbean
OWID_USS,USSR,Europe & Central Asia
UZB,Uzbekistan,Europe & Central Asia
VUT,Vanuatu,East Asia & Pacific
VEN,Venezuela,Latin America & Caribbean
VNM,Vietnam,East Asia & Pacific
YEM,Yemen,Middle East & North Africa
OWID_YGS,Yugoslavia,Europe & Central Asia
ZMB,Zambia,Sub-Saharan Africa
ZWE,Zimbabwe,Sub-Saharan Africa
